SKU,Company,Title,Description,Picture URL,Cost Price,Retail Price,Weight,Size,Color,Barcode
123432,Meptics,Gloves,Super cools,bdvdbuabb,20000,300,230,sdf,green,454-dew
2eed3,Meptics,Coke,Super cools,bdvdbuabb,200,1500,230,large,green,234rt4
32432,Meptics,Samsung S21 ultra,gdfs,df,50000,3900,690,small,blacks,232663abc
32hjh-87,Meptics,Samsung A33,Super cool,df,89000,50000,469,small,Blue,uf6fguft6f
47djejjj,Meptics,Airpods,Super cools,bdvdbuabb,5000,10000,230,normal,green,3ii5kkk-g
87686,Meptics,Redmi,gdfs,fdsa,62000,30000,230,small,Red,5321fda
dew-001,Meptics,Mountain Dew,Super cool,bdvdbuabb,10,50,230,normal,green,dew-code-001
djjdue83,Meptics,Gloves,Super cools,bdvdbuabb,6200,10000,230,normal,Red,41524fe
dw2,Meptics,Coke,Super cool,bdvdbuabb,200,1500,23,small,black,d3f3
faniufhiu3,Meptics,Nestle water,Super cools,image url,5000,10000,230,normal,black,u3h83
hte5y3,Meptics,LED,sadfdg,bdvdbuabb,20000,100000,230,large,black,f324y6
j84g398,Meptics,7up,Super cool,ssde,200,3900,230,large,Red,nfweidf43
