SKU,Company,Title,Description,Picture URL,Cost Price,Retail Price,Weight,Size,Color,Barcode
AZ7569-Bk-L,VIP Wears,"J.A.G. Motorcycle Gloves, Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Black, Large)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,sdf,green,B0BKL8RD9W
AZ7569-M,VIP Wears,"J.A.G. JAG Motorcycle Gloves, Brown Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Brown, Medium)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,large,green,B09X6W3V7X
AZ7860-BLK-L,VIP Wears,"J.A.G. Breathable All Seasons Mesh Motorcycle Riding Shirt for Men with CE (Certified) Protective Padded Shields (as1, alpha, l, regular, regular, Black, Large)",hjgsdjhagshj,df,0,34.99,300,small,blacks,B0B5L5M2XT
AZ7569-XL,VIP Wears,"J.A.G. JAG Motorcycle Gloves, Brown Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Brown, X-Large)",hjgsdjhagshj,df,0,34.99,300,small,Blue,B09X6W251H
AZ7569-Bk-XL,VIP Wears,"J.A.G. Motorcycle Gloves, Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Black, X-Large)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,normal,green,B0BKL7W312
AZ9890-BRN-M,VIP Wears,"J.A.G. Fingerless Motorcycle Gloves, Brown Real Leather Half Finger Driving Gloves for Men, Soft Half-Cut Cow Leather Gloves (Brown, Medium)",hjgsdjhagshj,fdsa,0,34.99,300,small,Red,B0B395B48N
AZ7860-BLK-XL,VIP Wears,"J.A.G. Breathable All Seasons Mesh Motorcycle Riding Shirt for Men with CE (Certified) Protective Padded Shields (as1, alpha, x_l, regular, regular, Black, X-Large)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,normal,green,B0B5L52KGN
AZ2652-RED-M,VIP Wears,"J.A.G. JAG Leather Full Finger Driving Gloves - Cowhide Driving Motorcycle Gloves for Men and Women (Medium, Red)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,normal,Red,B0B395MPVD
AZ9890-BRN-XL,VIP Wears,"J.A.G. Fingerless Motorcycle Gloves, Brown Real Leather Half Finger Driving Gloves for Men, Soft Half-Cut Cow Leather Gloves (Brown, X-Large)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,small,black,B0B396BC4Q
AZ9890-BRN-L,VIP Wears,"J.A.G. Fingerless Motorcycle Gloves, Brown Real Leather Half Finger Driving Gloves for Men, Soft Half-Cut Cow Leather Gloves (Brown, Large)",hjgsdjhagshj,image url,0,34.99,300,normal,black,B0B3933DB7
AZ7569-Bk-M,VIP Wears,"J.A.G. Motorcycle Gloves, Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Black, Medium)",hjgsdjhagshj,bdvdbuabb,0,34.99,300,large,black,B0BKLCBX4F
AZ7569-2XL,VIP Wears,"J.A.G. JAG Motorcycle Gloves, Brown Leather Perforated Motorcycle Gloves for Men with Knuckle Protection, Touchscreen Motorbike Gloves (Brown, XX-Large)",hjgsdjhagshj,ssde,0,34.99,300,large,Red,B09X6VHD8G
AZ7860-BLK-2XL,VIP Wears,"J.A.G. Breathable All Seasons Mesh Motorcycle Riding Shirt for Men with CE (Certified) Protective Padded Shields (as1, alpha, xx_l, regular, regular, Black, 2X-Large)",hjgsdjhagshj,dsfgxvxvxxv,0,34.99,300,large,red,B0B5L2MXC3
AZ2652-RED-L,VIP Wears,"J.A.G. JAG Leather Full Finger Driving Gloves - Cowhide Driving Motorcycle Gloves for Men and Women (Large, Red)",hjgsdjhagshj,cxfvsf,0,34.99,300,large,red,B0B3946BZ6
AZ9890-BRN-S,VIP Wears,"J.A.G. Fingerless Motorcycle Gloves, Brown Real Leather Half Finger Driving Gloves for Men, Soft Half-Cut Cow Leather Gloves (Brown, Small)",hjgsdjhagshj,cxfvsf,0,34.99,300,large,red,B0B399WX9X
