warehouse,SKU,quantity
warehouse 1,AZ7569-Bk-L,40
warehouse 1,AZ7569-M,32
warehouse 1,AZ7860-BLK-L,32
warehouse 1,AZ7569-XL,23
warehouse 1,AZ7569-Bk-XL,21
warehouse 1,AZ9890-BRN-M,25
warehouse 1,AZ7860-BLK-XL,40
warehouse 1,AZ2652-RED-M,55
warehouse 1,AZ9890-BRN-XL,23
warehouse 1,AZ9890-BRN-L,38
warehouse 1,AZ7569-Bk-M,32
warehouse 1,AZ7569-2XL,28
warehouse 1,AZ7860-BLK-2XL,30
warehouse 1,AZ2652-RED-L,23
warehouse 1,AZ9890-BRN-S,12
warehouse 1,AZ-9972-BK-L,24
warehouse 1,AZ7569-Bk-2XL,44
warehouse 1,AZ9890-BRN-2XL,56
warehouse 1,AZ7860-BLK-S,33
warehouse 1,AZ2652-RED-XL,34
warehouse 1,AZ2652-RED-2XL,35
warehouse 1,AZ7569-S,21
warehouse 1,AZ2652-RED-XS,32
warehouse 1,AZ7860-BLK-M,21
warehouse 1,AZ-5523-BK-M,98
warehouse 1,AZ2652-RED-S,65
warehouse 1,AZ-3343-L,22
warehouse 1,AZ7860-BLK-3XL,34
warehouse 1,AZ-9972-BK-M,32
warehouse 1,AZ-5523-BK-L,47
warehouse 1,AZ-5524-BK-L,22
warehouse 1,AZ2652-RED-3XL,11
warehouse 1,AZ7860-BLK-4XL,44
warehouse 1,AZ-2243-BR-L,23
warehouse 1,AZ9890-BRN-3XL,32
warehouse 1,AZ-7391-BK-L,21
warehouse 1,AZ7569-3XL,23
warehouse 1,AZ6438-X,24
warehouse 1,AZ6438-M,45
warehouse 1,AZ652-BLK-L,11
warehouse 1,AZ7569-Bk-S,23
warehouse 1,AZ-5524-BK-M,1
warehouse 1,AZ-8887-BK-L,23
warehouse 1,AZ652-BLU-M,34
warehouse 1,AZ-9972-BK-XL,23
warehouse 1,AZ-5523-BK-S,65
warehouse 1,AZ652-BLU-L,12
warehouse 1,AZ7569-Bk-3XL,34
warehouse 1,AZ-5523-BK-XL,63
warehouse 1,AZ-5523-BK-3XL,99
warehouse 1,AZ-3343-M,27
warehouse 1,AZ-2243-BR-XL,25
warehouse 1,AZ6438-2XL,56
warehouse 1,AZ652-BLU-XL,65
warehouse 1,AZ9890-BRN-XS,34
warehouse 1,AZ-7391-BK-XL,45
warehouse 1,AZ-8887-BK-XL,34
warehouse 1,AZ-5524-BK-XL,64
warehouse 1,AZ652-BLK-M,45
warehouse 1,AZ-2243-BR-S,23
warehouse 1,AZ-7391-BK-M,23
warehouse 1,AZ-8887-BK-M,34
warehouse 1,AZ-3343-S,23
warehouse 1,AZ7569-Bk-XS,2
warehouse 1,AZ-9972-BK-2XL,37
warehouse 1,AZ-9972-BK-XS,42
warehouse 1,AZ-5523-BK-2XL,89
warehouse 1,AZ7569-XS,21
warehouse 1,AZ6438-3XL,22
warehouse 1,AZ652-BLK-XL,2
warehouse 1,AZ652-BLK-S,32
warehouse 1,AZ-8887-BK-XS,34
warehouse 1,AZ-5524-BK-2XL,32
warehouse 1,AZ652-BLU-S,11
warehouse 1,AZ-2243-BR-2XL,22
warehouse 1,AZ-2243-BR-M,21
warehouse 1,AZ-7391-BK-S,32
warehouse 1,AZ-8887-BK-2XL,2
warehouse 1,AZ-7391-BK-2XL,32
warehouse 1,AZ-8887-BK-S,23
warehouse 1,AZ-9972-BK-3XL,21
warehouse 1,AZ652-BLK-2XL,43
warehouse 1,AZ-7391-BK-3XL,9
warehouse 1,AZ-5524-BK-XS,21
warehouse 1,AZ-3343-XXXL,33
warehouse 1,AZ652-BLU-2XL,22
warehouse 1,AZ652-BLU-3XL,11
warehouse 1,AZ652-BLK-3XL,22
warehouse 1,AZ652-BLK-XS,66
warehouse 1,AZ-9972-BK-S,32
warehouse 1,AZ-7391-BK-XS,44
warehouse 1,AZ-5523-BK-XS,49
warehouse 1,AZ-3343-XXL,66
warehouse 1,AZ6438-L,33
warehouse 1,AZ652-BLU-XS,23
warehouse 1,AZ-2243-BR-3XL,22
warehouse 1,AZ-8887-BK-3XL,45
warehouse 1,AZ-5524-BK-3XL,22
warehouse 1,AZ-5524-BK-S,56
warehouse 1,AZ-3343-XS,65
